,player_0,player_1,player_2,player_3,player_4,level_0,level_1,level_2,level_3,level_4,level_5,age,duration_ms,# tries,target
6079,0.0335576923076923,0.02339423076923077,6.23576923076923e-05,0.008144230769230772,2.1347573529411763,0.003234615384615384,0.5069692251874917,0.034423076923076924,0.40789473684210525,11.0,1.0,15.0,389193.25,8,2
10165,0.03034615384615385,0.024392307692307692,0.0019480692307692307,0.004936923076923077,1.993070588235294,0.004646923076923077,0.5147269946680261,,0.32842105263157895,7.0,1.0,19.0,156730.6,5,9
8575,0.028,0.012846153846153847,5.0384615384615384e-08,0.003961538461538462,2.091470588235294,,0.5834998140009093,0.018384615384615385,0.4631578947368421,,1.0,16.0,311427.0,2,3
10650,0.021582840236686388,0.02090236686390532,1.6931952662721894e-07,0.0076278106508875735,2.0564886877828057,0.0015127218934911245,0.5654170989864904,0.02438165680473373,0.3967611336032388,9.0,1.0,,225486.0769230769,26,9
1282,0.024173076923076926,0.02465384615384615,5.711538461538461e-08,0.005132692307692309,1.923779411764706,0.002571153846153846,0.4926702580565161,0.017288461538461537,0.7526315789473684,2.0,0.0,,223360.0,4,3
10460,0.025759615384615384,0.0195,3.509615384615385e-08,0.004325,2.0531985294117647,0.009971153846153845,0.5646587950014467,0.02035576923076923,0.4421052631578947,9.0,1.0,,321960.25,4,2
9172,0.018357142857142857,0.009453846153846153,0.025206387362637365,0.004799725274725275,2.3207500000000003,0.001516758241758242,0.49737469008352575,0.015553846153846152,0.3097744360902256,0.0,1.0,27.0,392523.85714285716,14,9
7082,0.016057692307692308,0.010096153846153847,0.0046711538461538474,0.007,2.2821470588235293,0.0014615384615384616,0.599171959603753,0.028634615384615387,0.2894736842105263,8.0,0.0,,136780.0,4,5
10608,0.016596153846153847,0.0348525641025641,0.0073785812179487185,0.009185897435897435,1.8837598039215686,0.0018801282051282052,0.6867086427577466,0.02146794871794872,0.5456140350877194,2.0,0.0,,217129.0,12,1
5254,0.019492110453648924,0.03216173570019722,0.002427742297830375,0.009184812623274164,1.928365007541478,0.001993491124260355,0.6227127087131771,0.016262327416173575,0.521727395411606,2.0,1.0,,250261.5641025641,39,1
12308,0.012340384615384616,0.011182692307692308,0.02276923076923077,0.006355769230769231,2.064941176470588,0.0011990384615384617,0.65050541234391,0.00534326923076923,0.46842105263157896,0.0,1.0,28.0,175083.5,8,7
3580,0.02377802197802198,0.027682417582417587,0.005881623296703294,0.01980032967032967,2.0245882352941176,0.0026636263736263734,0.5145503775420697,0.03243736263736264,0.35218045112781954,5.0,1.0,,414999.4,35,9
4965,0.017453125,0.02110216346153846,1.319951923076923e-07,0.005195552884615387,1.953034007352941,0.00209639423076923,0.5875771551783525,,0.749671052631579,6.0,1.0,,223976.25,32,7
1042,0.01680769230769231,0.037509615384615384,8.617788461538463e-06,0.01710576923076923,1.854529411764706,0.005499038461538462,0.574068971218363,0.016259615384615386,0.631578947368421,7.0,1.0,,220172.75,8,1
792,0.02251923076923076,0.01855769230769231,0.002203038444055944,0.004577447552447554,2.112288770053476,0.00124458041958042,0.5230131602184893,0.02597552447552448,0.3502392344497608,9.0,,19.0,269151.5454545455,44,8
6158,0.024946581196581188,0.016004273504273504,6.538461538461537e-08,0.008273504273504274,2.0545800653594775,0.002336538461538461,0.5297618956496626,0.03024358974358973,0.1760233918128655,1.0,1.0,,157729.66666666663,36,9
10492,0.016762820512820513,0.013419230769230768,0.004617226602564103,0.004569230769230769,2.206578431372549,0.002455769230769232,0.657252663307967,,0.4105263157894737,11.0,1.0,22.0,298371.16666666674,12,9
11701,0.030576923076923078,0.021115384615384612,4.192307692307692e-06,0.004423076923076924,1.9938529411764705,0.003384615384615385,0.4960526859646464,0.022384615384615388,0.6526315789473685,2.0,1.0,16.0,218926.0,2,9
9067,0.012333333333333335,0.012089743589743589,0.01621955128205128,0.007267307692307693,2.0716813725490195,0.0012044871794871792,0.48709487790652284,0.010429487179487182,0.10877192982456141,0.0,1.0,,207650.0,6,7
10319,0.032615384615384616,0.028346153846153847,0.0,0.011038461538461537,1.8996176470588235,0.005384615384615385,0.44046421698975396,0.017576923076923077,0.5684210526315789,11.0,0.0,15.0,314907.0,1,9
4398,0.023134615384615385,0.026923076923076925,3.2884615384615386e-08,0.006925,1.9860294117647062,0.0016596153846153846,,0.03461538461538462,0.3,9.0,1.0,18.0,151686.5,4,9
8585,0.01823076923076923,0.034692307692307696,0.0019461538461538462,0.003923076923076923,2.0175,0.002830769230769231,0.8925246735830774,0.036538461538461534,0.3684210526315789,4.0,1.0,15.0,216267.0,2,6
4783,0.029858974358974354,0.0307948717948718,0.0057448717948717955,0.007435897435897436,2.077186274509804,0.0029743589743589744,0.5149495812341461,0.02266666666666667,0.3473684210526316,1.0,1.0,,396853.33333333326,6,9
4024,0.025615384615384613,0.029538461538461538,0.0,0.002003846153846154,1.928205882352941,0.0047692307692307695,0.6997102088241642,0.037384615384615384,0.4631578947368421,,0.0,19.0,229667.0,2,9
1511,0.02373076923076923,0.032461538461538465,0.0,0.007807692307692308,1.8759705882352942,0.010692307692307694,0.5047142732487382,0.030384615384615385,0.6631578947368421,,0.0,15.0,221182.0,1,1
5005,0.01944615384615385,0.02860769230769231,9.003846153846156e-06,0.008883076923076922,1.906035294117647,0.004807692307692308,0.43559884818340894,0.011269230769230771,0.6863157894736842,2.0,1.0,,204304.2,5,3
3026,0.030307692307692306,0.03103846153846154,0.0,0.0030269230769230772,1.8715,0.007269230769230769,0.6367506647745278,0.023615384615384614,0.43157894736842106,7.0,1.0,17.0,236592.0,2,2
6001,0.025213286713286712,0.021597902097902095,0.012310916363636364,0.009690209790209792,2.053270053475936,0.0015790209790209793,0.4965908516837824,0.021587412587412588,0.40382775119617226,11.0,1.0,18.0,311849.7272727273,11,9
9426,0.030144230769230767,0.02846153846153846,0.00022624999999999994,0.003792307692307692,2.0469338235294114,0.0032057692307692304,0.5402320625691756,0.03419230769230769,0.3605263157894737,1.0,1.0,14.0,270690.0,8,5
7193,0.01725,0.02325,0.0003958685897435896,0.013517948717948718,1.990578431372549,0.0014301282051282053,0.6274461176708322,0.00869423076923077,0.5438596491228069,11.0,1.0,17.0,317546.5,12,3
4466,0.007884615384615384,0.02526923076923077,0.0,0.005269230769230768,1.8938823529411764,0.001273076923076923,0.7252678616534171,,0.4,1.0,0.0,28.0,369147.0,2,4
2341,0.019884615384615386,0.028653846153846155,0.008769230769230769,0.013615384615384614,2.0701176470588236,0.005653846153846153,0.464047064658795,0.011807692307692307,0.37894736842105264,1.0,1.0,,181467.0,2,9
3483,0.024115384615384615,0.029538461538461538,0.0,0.004846153846153846,1.9933823529411767,0.002403846153846154,0.4595830864826883,0.03084615384615385,0.6,,1.0,21.0,216693.0,1,1
561,0.014512820512820511,0.012051282051282055,0.0003480769230769231,0.004085897435897435,2.0767843137254904,0.0015666666666666667,0.5789041821474551,0.01003846153846154,0.5719298245614036,7.0,1.0,24.0,167502.33333333337,6,8
